Age,Country,EdLevel,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeWantToWorkWith
25-34 years old,Argentina,Some college/university study without earning a degree,10,Dart;JavaScript;TypeScript,Dart;Go;JavaScript;Rust;Solidity;TypeScript;Zig,Cloud Firestore;Dynamodb;MariaDB;MongoDB;PostgreSQL;Redis;SQLite;Supabase,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Supabase;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Astro;Htmx;Node.js;React;Solid.js
25-34 years old,Argentina,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;Solidity;TypeScript,Microsoft SQL Server;MySQL;SQLite,MySQL;PostgreSQL;SQLite;Supabase,Heroku;Microsoft Azure;Netlify,Microsoft Azure;Netlify,ASP.NET CORE;Astro;Next.js;Node.js;React;Svelte
25-34 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);Go;Perl;Python;SQL,Bash/Shell (all shells);Go;Lua;Perl;Python;SQL,Clickhouse;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Cassandra;Databricks SQL;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,"Amazon Web Services (AWS);Linode, now Akamai;Microsoft Azure",Amazon Web Services (AWS);Microsoft Azure,Htmx
18-24 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,HTML/CSS;JavaScript;SQL;TypeScript,Go;HTML/CSS;JavaScript;Julia;Rust;Swift;TypeScript,MongoDB;PostgreSQL,Elasticsearch;InfluxDB;MongoDB;PostgreSQL,Google Cloud;Hetzner,Amazon Web Services (AWS);Google Cloud;Hetzner,Angular;NestJS;Node.js;Svelte
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,C#;JavaScript;Python;SQL;TypeScript,C#;SQL;TypeScript,Cloud Firestore;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;Snowflake,Elasticsearch;MongoDB;Redis,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Cloudflare;Microsoft Azure,ASP.NET CORE
18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",,Bash/Shell (all shells);C++;HTML/CSS;PowerShell;Python;SQL,Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;MicroPython;PowerShell;Python;Rust;SQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,BigQuery;Cloud Firestore;IBM DB2;MongoDB;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Render;VMware,Amazon Web Services (AWS);Firebase;Google Cloud;IBM Cloud Or Watson;Microsoft Azure;Render;VMware,Angular;Django;FastAPI;Flask;Next.js;Node.js;React;WordPress
18-24 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python;R;Rust;Solidity;SQL;TypeScript,Clojure;Go;Python;Rust;Swift;TypeScript,Firebase Realtime Database;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis;Supabase,Elasticsearch;MySQL;Oracle;PostgreSQL;Redis;Snowflake;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Oracle Cloud Infrastructure (OCI);Supabase;Vercel,Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI);Supabase,Deno;Express;FastAPI;Gatsby;Laravel;NestJS;Next.js;Node.js;React;Svelte;Vue.js
18-24 years old,Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;PowerShell;Python;SQL;Swift;TypeScript,C#;HTML/CSS;Kotlin;Python;TypeScript,Cloud Firestore;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Cloud Firestore;InfluxDB;MongoDB;PostgreSQL;Redis;SQLite,Google Cloud;Microsoft Azure;Vercel,Cloudflare;Vercel,ASP.NET CORE;Express;Next.js;Node.js;React
55-64 years old,Belgium,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",29,C#;HTML/CSS;JavaScript;Python;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;Python;SQL;Visual Basic (.Net),Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery;Vue.js
35-44 years old,Sweden,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C#;HTML/CSS;Kotlin;Rust;TypeScript,Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;PostgreSQL;Redis;Supabase,Elasticsearch;MongoDB;PostgreSQL;Redis;Supabase,Amazon Web Services (AWS);Firebase;Google Cloud;Supabase;Vercel,Amazon Web Services (AWS);Google Cloud;Supabase;Vercel,ASP.NET CORE;Svelte
45-54 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",28,Bash/Shell (all shells);C;Go;Lua;Python;Rust,Assembly;Bash/Shell (all shells);C;Go;Lua;Python;Rust,MariaDB;SQLite,MariaDB;SQLite,Amazon Web Services (AWS);Heroku;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Hetzner;Oracle Cloud Infrastructure (OCI);OVH;Scaleway;Vultr,FastAPI;Vue.js
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,Python;SQL,Python;SQL;Swift,MongoDB;Redis,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Firebase;Microsoft Azure,FastAPI;React
25-34 years old,Pakistan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Java;JavaScript;PHP;PowerShell;SQL,C++;Groovy;Java;JavaScript;MicroPython;PHP;PowerShell;Python;SQL,IBM DB2;Microsoft SQL Server;MongoDB;MySQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Google Cloud;Microsoft Azure;Netlify,Google Cloud;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Node.js;Spring Boot
35-44 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",21,HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,Go;HTML/CSS;Rust;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Supabase,PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;Supabase;Vercel,Digital Ocean,Astro;FastAPI;Htmx;NestJS;Next.js;Node.js;Solid.js;Svelte;Vue.js
25-34 years old,Denmark,"Associate degree (A.A., A.S., etc.)",5,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,JavaScript;SQL;TypeScript,Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Snowflake;SQLite;Supabase,MySQL;PostgreSQL;Supabase,Cloudflare;Digital Ocean;Firebase;Google Cloud;Microsoft Azure;Supabase;Vercel,Digital Ocean;Google Cloud;Supabase,Node.js;React;Remix;Svelte
35-44 years old,Uruguay,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,MongoDB,MongoDB,Netlify;Vercel,Netlify;Vercel,Astro;Deno;Express;NestJS;Next.js;Node.js;React;Remix;Strapi
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Bash/Shell (all shells);Dart;PHP;Python;TypeScript,Bash/Shell (all shells);Dart;Python,Cloud Firestore;MongoDB;MySQL,Cloud Firestore,Firebase;Google Cloud;Scaleway,Firebase;Google Cloud;Scaleway,Flask
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,HTML/CSS;Java;JavaScript;Kotlin;Visual Basic (.Net),HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Dynamodb;SQLite,Dynamodb;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;VMware,Amazon Web Services (AWS);Firebase;VMware,Astro;Express;Next.js;Node.js;React;Strapi
35-44 years old,Portugal,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;MATLAB;Python;R;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;R,InfluxDB;PostgreSQL,InfluxDB;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud,Express;Node.js;React;Remix
45-54 years old,South Korea,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18,Java;JavaScript;Python;SQL,Java;JavaScript;Python;SQL,MariaDB;MySQL;PostgreSQL;Redis,MariaDB;MySQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI;Spring Boot;Vue.js
35-44 years old,Germany,Primary/elementary school,,Elixir;Erlang;JavaScript;PHP;Ruby,Elixir,Elasticsearch;MySQL;PostgreSQL;Solr;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Hetzner;OVH,Cloudflare;Fly.io;Hetzner,Phoenix;Vue.js
25-34 years old,Argentina,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,Java;JavaScript;SQL;TypeScript,Kotlin;Python;Rust;TypeScript,BigQuery;Cloud Firestore,BigQuery,Firebase;Google Cloud,Google Cloud,React
18-24 years old,Viet Nam,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Assembly;Bash/Shell (all shells);C;C#;C++;Java;JavaScript;PowerShell;Python;R;SQL;TypeScript,Delphi;F#;Fortran;Go;Haskell;Julia;Kotlin;Lisp;MATLAB;Prolog;Python;Rust;Scala;SQL,Dynamodb;InfluxDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Cloud Firestore;Databricks SQL;Elasticsearch;Firebase Realtime Database;Firebird;MariaDB;Neo4J;Redis;Snowflake;SQLite;Supabase,Amazon Web Services (AWS);Heroku;Microsoft Azure,Cloudflare;Databricks;Firebase;Google Cloud;Heroku;Microsoft Azure;OpenShift;OpenStack;PythonAnywhere;Supabase,Blazor;FastAPI;Flask;Spring Boot
18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,Java,Go;Java;JavaScript;Kotlin,Microsoft SQL Server;MongoDB;Redis,Cassandra;Cockroachdb;Couchbase;Dynamodb;Neo4J;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot
45-54 years old,Australia,"Associate degree (A.A., A.S., etc.)",31,C#;PowerShell;TypeScript,C#;C++;PowerShell;Rust;TypeScript,InfluxDB;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;React
18-24 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cosmos DB;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Heroku;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;Express;Node.js;Vue.js
25-34 years old,Italy,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,Elixir,Elixir;Zig,Cassandra;PostgreSQL,DuckDB;PostgreSQL;SQLite,Google Cloud;Microsoft Azure,Fly.io;Google Cloud,Phoenix
25-34 years old,New Zealand,Some college/university study without earning a degree,10,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL;Supabase,Heroku;IBM Cloud Or Watson;Microsoft Azure,Heroku;IBM Cloud Or Watson;Microsoft Azure;Supabase,ASP.NET;ASP.NET CORE;Deno;Express;Next.js;Node.js;Nuxt.js;React;Symfony;Vue.js
25-34 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",1,JavaScript;Python;Rust;TypeScript,Python;Rust,MongoDB;PostgreSQL;Supabase,Dynamodb;PostgreSQL;Supabase,Amazon Web Services (AWS);Cloudflare;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Netlify,Astro;Express;Htmx;Node.js;React;Remix;Solid.js;Svelte
55-64 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",27,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Elasticsearch;Microsoft SQL Server;MongoDB,Amazon Web Services (AWS),Amazon Web Services (AWS);Colocation;Google Cloud;Microsoft Azure,Angular;ASP.NET CORE;React;Vue.js
35-44 years old,Argentina,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",17,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);PowerShell;Python;SQL,Firebase Realtime Database;MySQL;PostgreSQL;SQLite,PostgreSQL,Cloudflare;Firebase,Cloudflare,Django;jQuery
25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Go;HTML/CSS;JavaScript;SQL;TypeScript,Dart;Go;TypeScript,Dynamodb;PostgreSQL;SQLite,Dynamodb;MongoDB;PostgreSQL,Amazon Web Services (AWS);Netlify;Vercel,Amazon Web Services (AWS);Vercel,NestJS
35-44 years old,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,C;C++;Java,C;C++;Java;Rust,Cosmos DB;PostgreSQL,Cosmos DB;PostgreSQL,Microsoft Azure,Microsoft Azure,React
35-44 years old,Singapore,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,Bash/Shell (all shells);C;C#;C++;Go;Java;MicroPython;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C;C#;C++;Go;Java;Julia;Kotlin;MicroPython;Objective-C;PowerShell;Python;Rust;SQL;Swift;TypeScript,H2;MongoDB;PostgreSQL,H2;MongoDB;PostgreSQL,Heroku;Netlify;Render;Vercel;VMware,Amazon Web Services (AWS);Heroku;Microsoft Azure;Netlify;Render;Vercel;VMware,Angular;AngularJS;Django;Express;FastAPI;Flask;Next.js;Node.js;React;Spring Boot;Svelte;Vue.js
35-44 years old,United States of America,"Associate degree (A.A., A.S., etc.)",10,HTML/CSS;JavaScript;PowerShell;Python;TypeScript,HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,Dynamodb;MongoDB;SQLite,Dynamodb;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),React
45-54 years old,Sweden,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30,C;TypeScript,C;TypeScript,MySQL,MySQL,Digital Ocean,Digital Ocean,Node.js;React;Remix
45-54 years old,Canada,Some college/university study without earning a degree,28,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,Cloud Firestore;Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Firebase;Google Cloud,Node.js;Spring Boot
35-44 years old,Netherlands,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,JavaScript;PHP;TypeScript,Java;JavaScript;TypeScript,MySQL;Supabase,MySQL,Digital Ocean;Fly.io;Netlify,Digital Ocean;Netlify,Angular;Astro;NestJS
25-34 years old,United Arab Emirates,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",13,Dart;HTML/CSS;Java;JavaScript;MicroPython;Python;Rust;SQL;TypeScript,Go;Java;JavaScript;MicroPython;Python;Rust;SQL;TypeScript,DuckDB;H2;MariaDB;Oracle,DuckDB;H2;MariaDB;Oracle;SQLite,OpenShift,Microsoft Azure;OpenShift,FastAPI;Node.js;React;Spring Boot
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB,MongoDB,Cloudflare;Firebase;Vercel,Cloudflare;Firebase;Vercel,Next.js;Node.js;React
35-44 years old,South Africa,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,HTML/CSS;Java;JavaScript,HTML/CSS;Java;JavaScript;Rust,Cosmos DB;H2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,H2;MongoDB;PostgreSQL;Redis,Microsoft Azure,Google Cloud;Microsoft Azure,Spring Boot
25-34 years old,New Zealand,Some college/university study without earning a degree,15,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Rust;Scala;SQL;TypeScript,Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,ASP.NET;ASP.NET CORE;Htmx;React;Vue.js
18-24 years old,Viet Nam,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;R;Scala;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,Cassandra;Couch DB;Couchbase;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Firebase Realtime Database;MongoDB;PostgreSQL,Netlify;Vercel,Vercel,Next.js;Node.js;React
55-64 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",39,C#;C++;Fortran;Java;JavaScript;MATLAB;Python;SQL;Visual Basic (.Net),C#;C++;Fortran;Java;JavaScript;MATLAB;Python;SQL;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Microsoft Access;Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery
25-34 years old,Hungary,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,JavaScript;Python,Go;Java;Python,Oracle;PostgreSQL,EventStoreDB;PostgreSQL,Microsoft Azure,Microsoft Azure,Node.js;React;Spring Boot
35-44 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,C#;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Google Cloud;OpenShift,OpenShift,Angular;ASP.NET CORE;Blazor;React;Vue.js
45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,HTML/CSS;JavaScript;Objective-C;Ruby;SQL,C#;HTML/CSS;JavaScript;Ruby;SQL;Swift,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Htmx;jQuery;Node.js;Ruby on Rails
25-34 years old,Viet Nam,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,HTML/CSS;JavaScript;Python;TypeScript,Go;JavaScript;Python;TypeScript,Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Vercel,Amazon Web Services (AWS);Digital Ocean,FastAPI;Htmx;Next.js;React;Ruby on Rails;Svelte;Vue.js
45-54 years old,Australia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25,Apex;Clojure;HTML/CSS;Java;JavaScript;Lisp;TypeScript,Apex;Clojure;Dart;HTML/CSS;JavaScript;Lisp;TypeScript,Datomic;Dynamodb,Datomic;Dynamodb,Amazon Web Services (AWS),Amazon Web Services (AWS),Htmx;React
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,HTML/CSS;JavaScript;SQL;TypeScript,Clojure;Elixir;TypeScript,Dynamodb;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Fastify;Node.js;Phoenix;React
35-44 years old,Spain,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,Bash/Shell (all shells);Java;TypeScript,Bash/Shell (all shells);Groovy;Java,H2;MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);OpenShift,Amazon Web Services (AWS);OpenShift,Spring Boot
18-24 years old,France,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,HTML/CSS;JavaScript;SQL;TypeScript,Go;TypeScript,MongoDB;PostgreSQL,PostgreSQL;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku;OVH;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;OVH;Vercel,Express;FastAPI;Gatsby;Htmx;NestJS;Next.js;Node.js;Nuxt.js;React;Remix;Ruby on Rails;Solid.js;Svelte;Vue.js
25-34 years old,France,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Firebase;Microsoft Azure,Amazon Web Services (AWS);Digital Ocean;Firebase;Microsoft Azure;OVH,Angular;ASP.NET;ASP.NET CORE;NestJS;Next.js;Node.js;Spring Boot
25-34 years old,Bangladesh,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,Angular;ASP.NET CORE;Blazor;Nuxt.js;React;Vue.js
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,7,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;MySQL;SQLite,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;Blazor;Node.js
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Rust;TypeScript;Zig,Dynamodb;MongoDB;MySQL;Oracle;PostgreSQL,Dynamodb;MongoDB;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,Amazon Web Services (AWS),Angular;Express;Htmx;Next.js;Node.js;React;Solid.js
18-24 years old,Madagascar,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,MongoDB;MySQL,MongoDB;MySQL;PostgreSQL;SQLite,OVH,Hetzner;OVH;Vercel;Vultr,Angular;FastAPI;Next.js;Svelte
25-34 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",2,Bash/Shell (all shells);HTML/CSS;Python,Bash/Shell (all shells);HTML/CSS;Python;Rust,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL,Netlify;OVH;PythonAnywhere,OVH,Django;FastAPI;Flask
18-24 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Java;JavaScript;SQL;TypeScript,JavaScript;Rust;TypeScript,MongoDB;Oracle,MongoDB;Oracle,Amazon Web Services (AWS);Microsoft Azure;Netlify,Microsoft Azure;Netlify,Angular;Node.js;React;WordPress
35-44 years old,Namibia,Some college/university study without earning a degree,5,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),Assembly;C;C#;C++;F#;HTML/CSS;JavaScript;MATLAB;SQL;TypeScript;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Digital Ocean;Microsoft Azure,Digital Ocean;Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;Htmx;React
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,C#;PowerShell;SQL,C#;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE
